artista,total_musicas,popularidade_media
DragonForce,9,43.1
No.1,19,43.0
Anathema,10,43.0
Reginaldo Rossi,8,43.0
Rosa de Saron,9,43.0
Stap,7,42.9
Enygma Rapper,8,42.9
Fábio Jr.,8,42.9
Beyond,14,42.9
Roupa Nova,29,42.8
Spice,9,42.8
Zé Ramalho,16,42.8
Fabrizio Paterlini,14,42.8
Exaltasamba,47,42.7
The Hives,6,42.7
Joep Beving,12,42.7
anirap,7,42.6
Vou pro Sereno,12,42.6
Rainie Yang,7,42.6
El Canto Del Loco,11,42.6
Engenheiros Do Hawaii,12,42.6
Voz da Verdade,9,42.6
Aline Barros,29,42.6
Joan Sebastian,34,42.5
José González,10,42.5
Hillsong Young & Free,37,42.4
Ensidya,7,42.4
Peter Cat Recording Co.,14,42.4
Jon Lajoie,8,42.4
Deise do Vale,8,42.4
Fresno,9,42.4
Fernanda Brum,7,42.4
Megadeth,14,42.4
Pinhani,6,42.3
Electroforez,15,42.3
Art Popular,30,42.3
Julianno Sosa,8,42.3
The Cars,17,42.3
Icon For Hire,6,42.3
Bonde do Forró,10,42.3
Raquel dos Teclados,9,42.3
Aviões do Forró,16,42.3
Almir Sater,6,42.3
Benny Martin;The Wong Janice,8,42.3
Jessie Ware,8,42.3
Capital Inicial,12,42.3
Samuel Messias,6,42.3
Jesus Culture;Kim Walker-Smith,10,42.2
Alceu Valença,12,42.2
Mastruz Com Leite,13,42.2
Dorgival Dantas,6,42.2
Amon Amarth,18,42.2
Fernandinho,29,42.2
Isadora Pompeo,12,42.2
Hillsong Worship;Reuben Morgan,12,42.1
Şanışer,13,42.1
Taba Chake,9,42.1
Eartheater,9,42.1
Cássia Eller,10,42.1
Gabriel Guedes de Almeida,13,42.1
Skank,9,42.1
Mosaic MSC,6,42.0
Colyn,7,42.0
Rachel Reis,8,42.0
Pisadinha do Vaqueiro,6,42.0
Silvanno Salles,21,42.0
Kailash Kher,27,42.0
Swedish House Mafia,7,42.0
Stabil,8,41.9
Seu Jorge,8,41.9
Djavan,19,41.9
Black Label Society,7,41.9
Unha Pintada,20,41.9
Biu do Piseiro,9,41.9
Douglas & Vinicius,8,41.9
Leoni,7,41.9
Damares,8,41.9
Los Hermanos,19,41.9
Patricio Rey y sus Redonditos de Ricota,35,41.9
UMEK,6,41.8
Kiasmos,6,41.8
Renascer Praise,6,41.8
Burzum,6,41.8
Flower Face,23,41.8
Brian Eno,15,41.8
Berg,7,41.7
Vander Lee,7,41.7
Chet Baker,6,41.7
Japãozin,16,41.7
Jeremy Zucker,10,41.7
Icona Pop;Charli XCX,6,41.7
In Flames,21,41.7
Glee Cast;Jonathan Groff,6,41.7
Zeca Baleiro,9,41.7
Chord Overstreet,11,41.7
Ahiyan,10,41.6
Roberto Carlos,18,41.6
Benito Di Paula,8,41.6
BAND-MAID,14,41.6
Emmure,7,41.6
Lauriete,8,41.6
Kleber Lucas,7,41.6
Dimmu Borgir,10,41.6
Rustage,10,41.6
Alexis Ffrench,22,41.6
Planetshakers,44,41.5
Hidra,21,41.5
Philip,6,41.5
Arlindo Cruz,16,41.5
Jorge Aragão,30,41.5
Os Barões Da Pisadinha,65,41.5
Friction,6,41.5
Diante do Trono;Ana Paula Valadão,8,41.5
Gerson Rufino,37,41.5
Phil Wickham,37,41.5
O Rappa,25,41.5
Motive,14,41.4
Akatu,16,41.4
Wu Bai,12,41.4
Zezo,23,41.4
Raghu Dixit,18,41.4
Anderson Freire,8,41.4
Hillsong Young & Free;Alexander Pappas,6,41.3
Khontkar,9,41.3
Valentín Elizalde,14,41.3
Stand Here Alone,9,41.3
Terno Rei,6,41.3
Palavra Cantada,9,41.3
Marisa Monte,12,41.3
Boris Brejcha;Ginger,11,41.3
Yuna,6,41.3
Luiz Gonzaga,8,41.3
Kibariye,6,41.3
Shirley Carvalhaes,10,41.3
André Valadão,7,41.3
Big Up,7,41.3
Canção & Louvor,8,41.3
Washington Brasileiro,9,41.2
Joey Yung,13,41.2
Kari Jobe,13,41.2
Ben Woodward,9,41.2
Saian,9,41.1
Tan Taşçı,23,41.1
Canticuénticos,7,41.1
K.I.Z,10,41.1
Fiona Sit,7,41.1
J.J. Cale,9,41.1
División Minúscula,9,41.1
Negritude Junior,7,41.0
Ran-D,7,41.0
Flávio José,10,41.0
Bensley,9,41.0
Rodolfo Abrantes,9,41.0
Kapanga,9,41.0
Panteon Rococo,35,41.0
Priscila Senna,8,40.9
Taty Girl,24,40.9
One True God,17,40.9
dj Shawny,7,40.9
Simon Wester,7,40.9
